image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
158 0 1 65 40 1 2.59 0 0.6136363636363636 1 0.6590872832935851
158 0 2 61 16 0 2.59 0 0.2661290322580645 0 0.4432849778610374
158 1 1 50 30 1 2.59 0 0.5980392156862745 1 0.6590872832935851
158 1 2 56 21 0 2.59 0 0.3771929824561403 0 0.4432849778610374
160 0 1 65 50 1 2.19 0 0.7651515151515151 1 0.6957346960488497
160 0 2 61 34 0 2.19 0 0.5564516129032258 0 0.504740137798893
160 1 1 50 35 1 2.19 0 0.696078431372549 1 0.6957346960488497
160 1 2 56 33 0 2.19 0 0.5877192982456141 0 0.504740137798893
197 0 1 65 56 1 2.97 0 0.8560606060606061 1 0.644451612155886
197 0 2 61 49 0 2.97 0 0.7983870967741935 0 0.4605372423610426
197 1 1 50 36 1 2.97 0 0.7156862745098039 1 0.644451612155886
197 1 2 56 43 0 2.97 0 0.7631578947368421 0 0.4605372423610426
198 0 1 65 42 1 2.65 0 0.6439393939393939 1 0.6654502949319593
198 0 2 61 29 0 2.65 0 0.4758064516129032 0 0.4685811194307746
198 1 1 50 38 1 2.65 0 0.7549019607843137 1 0.6654502949319593
198 1 2 56 32 0 2.65 0 0.5701754385964912 0 0.4685811194307746
202 0 1 65 40 0 3.09 0 0.6136363636363636 0 0.4111114517899641
202 0 2 61 45 1 3.09 0 0.7338709677419355 1 0.6649053268269334
202 1 1 50 30 0 3.09 0 0.5980392156862745 0 0.4111114517899641
202 1 2 56 45 1 3.09 0 0.7982456140350878 1 0.6649053268269334
205 0 1 65 38 1 3.26 0 0.5833333333333334 1 0.6354295298395796
205 0 2 61 43 0 3.26 0 0.7016129032258065 0 0.4750922919115983
205 1 1 50 29 1 3.26 0 0.5784313725490197 1 0.6354295298395796
205 1 2 56 31 0 3.26 0 0.5526315789473685 0 0.4750922919115983
206 0 1 65 31 0 3.41 0 0.4772727272727273 0 0.3714466304533242
206 0 2 61 45 1 3.41 0 0.7338709677419355 1 0.6585367661606387
206 1 1 50 20 0 3.41 0 0.4019607843137255 0 0.3714466304533242
206 1 2 56 45 1 3.41 0 0.7982456140350878 1 0.6585367661606387
207 0 1 65 24 0 3.11 0 0.3712121212121212 0 0.3521125694679543
207 0 2 61 47 1 3.11 0 0.7661290322580645 1 0.6354427749558795
207 1 1 50 15 0 3.11 0 0.3039215686274509 0 0.3521125694679543
207 1 2 56 42 1 3.11 0 0.7456140350877193 1 0.6354427749558795
226 0 1 65 40 0 3.2 0 0.6136363636363636 0 0.4468903462079842
226 0 2 61 51 1 3.2 0 0.8306451612903226 1 0.6359315650487894
226 1 1 50 29 0 3.2 0 0.5784313725490197 0 0.4468903462079842
226 1 2 56 48 1 3.2 0 0.8508771929824561 1 0.6359315650487894
227 0 1 65 21 0 2.67 0 0.3257575757575757 0 0.3624783229582063
227 0 2 61 44 1 2.67 0 0.717741935483871 1 0.6189872658565142
227 1 1 50 12 0 2.67 0 0.2450980392156862 0 0.3624783229582063
227 1 2 56 39 1 2.67 0 0.6929824561403509 1 0.6189872658565142
228 0 1 65 52 1 3.15 0 0.7954545454545454 1 0.6577697656843735
228 0 2 61 37 0 3.15 0 0.6048387096774194 0 0.4577282767113685
228 1 1 50 37 1 3.15 0 0.7352941176470589 1 0.6577697656843735
228 1 2 56 31 0 3.15 0 0.5526315789473685 0 0.4577282767113685
230 0 1 65 43 1 3.4 0 0.6590909090909091 1 0.6739964047478371
230 0 2 61 30 0 3.4 0 0.4919354838709677 0 0.4486783475031458
230 1 1 50 36 1 3.4 0 0.7156862745098039 1 0.6739964047478371
230 1 2 56 30 0 3.4 0 0.5350877192982456 0 0.4486783475031458
238 0 1 65 26 0 3.31 0 0.4015151515151515 0 0.5651547620694635
238 0 2 61 43 1 3.31 0 0.7016129032258065 1 0.6831290774811593
238 1 1 50 18 0 3.31 0 0.3627450980392157 0 0.5651547620694635
238 1 2 56 42 1 3.31 0 0.7456140350877193 1 0.6831290774811593
240 0 1 65 44 1 2.57 0 0.6742424242424242 1 0.7415181176891755
240 0 2 61 37 0 2.57 0 0.6048387096774194 0 0.6181219116388126
240 1 1 50 38 1 2.57 0 0.7549019607843137 1 0.7415181176891755
240 1 2 56 29 0 2.57 0 0.5175438596491229 0 0.6181219116388126
